Pergunta,Classificação,Grau de Importancia,Pontuação
A Empresa tem Credibilidade junto aos clientes,Forte,Muito importante,8
A empresa tem diferencial inovador,Forte,Totalmente importante,[10]
A tecnologia própria é essencial para o negócio,Forte,Totalmente importante,[10]
O produto é de qualidade,Forte,Totalmente importante,[10]
O portfólio de produtos/serviços é variado,Fraco,Totalmente importante,[10]
O custo é baixo e isso ajuda a obter maior lucro,Fraco,Totalmente importante,[10]
A equipe é competente e entrosada,Forte,Totalmente importante,[10]
Os meios para fazer as vendas são diversificados,Forte,Totalmente importante,[10]
A eficiência operacional é um fator favorável,Forte,Totalmente importante,[10]
Baixa rotatividade no quadro de funcionários,Forte,Totalmente importante,[10]
A base de clientes é grande e diversificada,Fraco,Muito importante,[8]
Há recursos financeiros disponíveis,Fraco,Muito importante,[8]
O negócio pode crescer (escalável),Fraco,Totalmente importante,[10]
A empresa é responsável socioambientalmente,Forte,Totalmente importante,[10]
