Pergunta,Classificação,Grau de Importancia,Pontuação
Há mercados inexplorados,Oportunidade,Totalmente importante,10
Possíbilidade de parcerias estratégicas,Oportunidade,Totalmente importante,[10]
Exitem poucos concorrentes no mercado,Ameaça,Muito importante,[8]
Aproveita políticas governamentais,Ameaça,Pouca importância,[4]
Aproveita avanço tecnológico,Oportunidade,Totalmente importante,[10]
Vai ocorrer redução de taxas e impostos,Ameaça,Importante,[6]
Está em um ambiente colaborativo,Oportunidade,Totalmente importante,[10]
A empresa realiza grandes eventos,Ameaça,Muito importante,[8]
Interesses por iniciativas socio ambientais,Oportunidade,Totalmente importante,[10]
Lançamentos de novas linhas de produtos,Oportunidade,Totalmente importante,[10]
Há um número abundante de recursos essenciais,Oportunidade,Totalmente importante,[10]
Existem segmentos de clientes entrando no mercado,Ameaça,Totalmente importante,[10]
A empresa tem crescimento no mercado,Ameaça,Totalmente importante,[10]
Possibilidade de oferta para mercados emergentes,Oportunidade,Totalmente importante,[10]
Existe barreira para desenvolvimento,Oportunidade,Totalmente importante,[10]
Tem facilidade de recolher informações de público alvo,Oportunidade,Totalmente importante,[10]
